Air Temp (F),Soil Moisture Content (%),Relative Humidity (%),Heat Index (F),Sunlight Illumination (lux),Watering?
59.54,649,78,58.86,195.64,TRUE
59.54,262,78,58.86,207.6,FALSE
59.54,269,76,58.77,223.99,FALSE
59.36,510,78,58.66,734.37,TRUE
59.36,513,78,58.66,664.68,TRUE
59.36,477,76,58.57,258.23,TRUE
59.36,369,76,58.57,236.6,FALSE
59.36,500,76,58.57,342.52,TRUE
59.18,469,76,58.37,560.53,TRUE
59.36,366,76,58.57,488.15,FALSE
59.18,389,76,58.37,517.72,FALSE
59.18,403,76,58.37,482.34,TRUE
59.18,419,76,58.37,442.56,TRUE
59.18,426,76,58.37,425.99,TRUE
59.18,429,78,58.46,415.11,TRUE
59.18,435,78,58.46,393.74,TRUE
59.18,444,78,58.46,378.04,TRUE
59.18,447,78,58.46,378.04,TRUE
59.18,453,78,58.46,378.04,TRUE
59.18,456,79,58.51,372.87,TRUE
59.18,460,79,58.51,372.87,TRUE
59,463,79,58.31,372.87,TRUE
59,465,78,58.27,367.74,TRUE
59,468,78,58.27,362.63,TRUE
58.82,470,78,58.07,362.63,TRUE
58.82,472,78,58.07,367.74,TRUE
58.82,474,76,57.97,362.63,TRUE
58.82,475,78,58.07,362.63,TRUE
58.82,477,78,58.07,362.63,TRUE
58.82,479,78,58.07,357.56,TRUE
58.82,480,78,58.07,362.63,TRUE
58.82,482,78,58.07,362.63,TRUE
58.82,483,78,58.07,362.63,TRUE
58.82,485,79,58.12,362.63,TRUE
58.82,486,79,58.12,367.74,TRUE
58.82,488,79,58.12,367.74,TRUE
58.82,489,79,58.12,362.63,TRUE
58.82,489,79,58.12,362.63,TRUE
58.82,491,79,58.12,362.63,TRUE
58.82,491,79,58.12,367.74,TRUE
58.82,492,79,58.12,367.74,TRUE
58.82,492,79,58.12,367.74,TRUE
58.82,492,80,58.16,372.87,TRUE
58.82,493,80,58.16,367.74,TRUE
58.82,493,80,58.16,367.74,TRUE
58.82,493,80,58.16,367.74,TRUE
58.82,493,80,58.16,372.87,TRUE
58.82,493,80,58.16,367.74,TRUE
58.82,493,80,58.16,362.63,TRUE
58.82,492,80,58.16,357.56,TRUE
58.82,492,80,58.16,357.56,TRUE
58.82,492,80,58.16,352.51,TRUE
58.64,491,79,57.92,362.63,TRUE
58.64,491,79,57.92,357.56,TRUE
58.64,491,79,57.92,357.56,TRUE
58.64,492,79,57.92,342.52,TRUE
58.64,492,79,57.92,342.52,TRUE
58.64,491,80,57.96,342.52,TRUE
58.64,491,80,57.96,352.51,TRUE
58.64,492,80,57.96,347.5,TRUE
58.64,491,80,57.96,347.5,TRUE
58.64,491,80,57.96,347.5,TRUE
58.64,492,80,57.96,342.52,TRUE
58.64,492,80,57.96,352.51,TRUE
58.64,492,80,57.96,357.56,TRUE
58.46,492,80,57.77,347.5,TRUE
58.46,493,80,57.77,342.52,TRUE
58.46,493,80,57.77,337.58,TRUE
58.46,494,79,57.72,332.66,TRUE
58.28,494,79,57.52,332.66,TRUE
58.28,494,79,57.52,332.66,TRUE
58.28,494,78,57.47,327.77,TRUE
58.28,494,78,57.47,327.77,TRUE
58.28,494,78,57.47,322.92,TRUE
58.28,493,78,57.47,322.92,TRUE
58.1,493,78,57.28,318.1,TRUE
58.1,493,78,57.28,318.1,TRUE
58.1,492,78,57.28,318.1,TRUE
58.1,492,76,57.18,318.1,TRUE
57.92,492,76,56.98,318.1,TRUE
57.92,492,76,56.98,318.1,TRUE
57.92,491,76,56.98,318.1,TRUE
57.92,491,78,57.08,318.1,TRUE
57.92,491,78,57.08,318.1,TRUE
57.92,491,78,57.08,313.31,TRUE
57.92,492,78,57.08,313.31,TRUE
57.92,493,78,57.08,318.1,TRUE
57.92,492,76,56.98,318.1,TRUE
57.92,492,76,56.98,318.1,TRUE
57.92,492,78,57.08,318.1,TRUE
57.92,491,76,56.98,313.31,TRUE
57.92,491,78,57.08,318.1,TRUE
57.92,491,76,56.98,318.1,TRUE
